Report_ID,Date,neg,neu,pos,compound
0001012870-02-002262,20020514,0.058,0.791,0.151,1
0001045810-04-000007,20040329,0.061,0.788,0.151,1
0001045810-05-000008,20050322,0.058,0.779,0.163,1
0001045810-06-000014,20060316,0.057,0.797,0.146,1
0001045810-07-000008,20070316,0.058,0.796,0.146,1
0001045810-08-000011,20080321,0.06,0.792,0.148,1
0001045810-09-000013,20090313,0.068,0.787,0.145,1
0001045810-10-000006,20100318,0.087,0.849,0.064,-1
0001045810-11-000015,20110316,0.081,0.847,0.072,-1
0001045810-12-000013,20120313,0.046,0.815,0.139,1
0001045810-13-000008,20130312,0.033,0.827,0.14,1
0001045810-14-000030,20140313,0.035,0.825,0.14,1
0001045810-15-000036,20150312,0.037,0.822,0.14,1
0001045810-16-000205,20160317,0.037,0.837,0.126,1
0001045810-17-000027,20170301,0.037,0.802,0.162,1
0001045810-18-000010,20180228,0.031,0.872,0.097,1
0001045810-19-000023,20190221,0.031,0.867,0.101,1
0001045810-20-000010,20200220,0.03,0.871,0.099,1
0001045810-21-000010,20210226,0.03,0.873,0.098,1
0001045810-22-000036,20220318,0.032,0.858,0.11,1
0001045810-23-000017,20230224,0.031,0.859,0.11,1
0001045810-24-000029,20240221,0.033,0.867,0.101,1
0001045969-03-001196,20030425,0.054,0.761,0.185,1
