Report_ID,Date,neg,neu,pos,compound,Report_Type
0001012870-02-002262,2002-05-14,0.058,0.791,0.151,1,10-K
0001045969-03-001196,2003-04-25,0.054,0.761,0.185,1,10-K
0001045810-04-000007,2004-03-29,0.061,0.788,0.151,1,10-K
0001045810-05-000008,2005-03-22,0.058,0.779,0.163,1,10-K
0001045810-06-000014,2006-03-16,0.057,0.797,0.146,1,10-K
0001045810-07-000008,2007-03-16,0.058,0.796,0.146,1,10-K
0001045810-08-000011,2008-03-21,0.06,0.792,0.148,1,10-K
0001045810-09-000013,2009-03-13,0.068,0.787,0.145,1,10-K
0001045810-10-000006,2010-03-18,0.087,0.849,0.064,-1,10-K
0001045810-11-000015,2011-03-16,0.081,0.847,0.072,-1,10-K
0001045810-12-000013,2012-03-13,0.046,0.815,0.139,1,10-K
0001045810-13-000008,2013-03-12,0.033,0.827,0.14,1,10-K
0001045810-14-000030,2014-03-13,0.035,0.825,0.14,1,10-K
0001045810-15-000036,2015-03-12,0.037,0.822,0.14,1,10-K
0001045810-16-000205,2016-03-17,0.037,0.837,0.126,1,10-K
0001045810-17-000027,2017-03-01,0.037,0.802,0.162,1,10-K
0001045810-18-000010,2018-02-28,0.031,0.872,0.097,1,10-K
0001045810-19-000023,2019-02-21,0.031,0.867,0.101,1,10-K
0001045810-20-000010,2020-02-20,0.03,0.871,0.099,1,10-K
0001045810-21-000010,2021-02-26,0.03,0.873,0.098,1,10-K
0001045810-22-000036,2022-03-18,0.032,0.858,0.11,1,10-K
0001045810-23-000017,2023-02-24,0.031,0.859,0.11,1,10-K
0001045810-24-000029,2024-02-21,0.033,0.867,0.101,1,10-K
