Report_ID,Date,neg,neu,pos,compound,Report_Type
0001012870-99-001954,1999-06-15,0.057,0.761,0.182,1.0,10-Q
0000898430-99-003541,1999-09-10,0.057,0.777,0.165,1.0,10-Q
0001012870-99-004592,1999-12-10,0.074,0.792,0.134,0.9999,10-Q
0001012870-00-003358,2000-06-14,0.081,0.775,0.143,0.9999,10-Q
0001012870-00-004766,2000-09-13,0.081,0.782,0.137,0.9999,10-Q
0001012870-00-006127,2000-12-08,0.085,0.782,0.134,0.9999,10-Q
0001012870-01-501180,2001-06-12,0.088,0.766,0.145,0.9999,10-Q
0001012870-01-501827,2001-09-10,0.056,0.807,0.137,1.0,10-Q
0001012870-01-502932,2001-11-23,0.076,0.775,0.149,1.0,10-Q
0001012870-02-002660,2002-06-10,0.076,0.76,0.164,1.0,10-Q
0001012870-02-003728,2002-09-10,0.078,0.776,0.145,1.0,10-Q
0001012870-02-004623,2002-12-10,0.076,0.767,0.157,1.0,10-Q
0001012870-03-002787,2003-05-22,0.086,0.742,0.172,1.0,10-Q
0001193125-03-047111,2003-09-09,0.085,0.753,0.162,1.0,10-Q
0001045810-03-000010,2003-11-21,0.085,0.755,0.16,1.0,10-Q
0001045810-04-000015,2004-05-20,0.086,0.757,0.156,1.0,10-Q
0001045810-04-000023,2004-08-19,0.067,0.753,0.18,1.0,10-Q
0001045810-04-000034,2004-11-22,0.067,0.775,0.158,1.0,10-Q
0001045810-05-000020,2005-06-02,0.087,0.762,0.151,1.0,10-Q
0001045810-05-000024,2005-08-25,0.078,0.77,0.152,1.0,10-Q
0001045810-05-000028,2005-11-23,0.079,0.768,0.153,1.0,10-Q
0001045810-06-000023,2006-05-31,0.074,0.765,0.161,1.0,10-Q
0001193125-06-243229,2006-11-29,0.069,0.768,0.163,1.0,10-Q
0001045810-06-000035,2006-12-07,0.07,0.766,0.164,1.0,10-Q
0001045810-07-000019,2007-05-24,0.079,0.771,0.15,1.0,10-Q
0001045810-07-000045,2007-08-22,0.063,0.774,0.162,1.0,10-Q
0001045810-07-000053,2007-11-21,0.07,0.775,0.155,1.0,10-Q
0001045810-08-000016,2008-05-22,0.053,0.808,0.139,1.0,10-Q
0001045810-08-000020,2008-08-21,0.079,0.762,0.159,1.0,10-Q
0001045810-08-000030,2008-12-02,0.087,0.758,0.155,1.0,10-Q
0001045810-09-000017,2009-05-20,0.087,0.759,0.153,1.0,10-Q
0001045810-09-000024,2009-08-20,0.089,0.848,0.063,-1.0,10-Q
0001045810-09-000036,2009-11-19,0.087,0.852,0.06,-1.0,10-Q
0001045810-10-000018,2010-05-21,0.092,0.837,0.071,-1.0,10-Q
0001045810-10-000029,2010-08-30,0.08,0.843,0.077,-1.0,10-Q
0001045810-10-000045,2010-12-07,0.075,0.846,0.08,-1.0,10-Q
0001045810-11-000031,2011-05-27,0.087,0.809,0.104,1.0,10-Q
0001045810-11-000046,2011-08-25,0.083,0.84,0.077,-1.0,10-Q
0001045810-11-000056,2011-11-22,0.04,0.836,0.124,1.0,10-Q
0001045810-12-000027,2012-05-23,0.039,0.809,0.153,1.0,10-Q
0001045810-12-000036,2012-08-22,0.034,0.842,0.124,1.0,10-Q
0001045810-12-000060,2012-11-19,0.035,0.843,0.122,1.0,10-Q
0001045810-13-000054,2013-05-22,0.034,0.849,0.118,1.0,10-Q
0001045810-13-000075,2013-08-21,0.024,0.848,0.128,1.0,10-Q
0001045810-13-000109,2013-11-19,0.033,0.853,0.114,1.0,10-Q
0001045810-14-000085,2014-05-21,0.034,0.85,0.116,1.0,10-Q
0001045810-14-000158,2014-08-20,0.037,0.832,0.131,1.0,10-Q
0001045810-14-000188,2014-11-19,0.039,0.853,0.108,1.0,10-Q
0001045810-15-000097,2015-05-20,0.031,0.86,0.109,1.0,10-Q
0001045810-15-000143,2015-08-19,0.034,0.805,0.161,1.0,10-Q
0001045810-15-000173,2015-11-18,0.03,0.87,0.1,1.0,10-Q
0001045810-16-000275,2016-05-25,0.031,0.867,0.102,1.0,10-Q
0001045810-16-000300,2016-08-23,0.028,0.877,0.095,1.0,10-Q
0001045810-16-000353,2016-11-22,0.029,0.872,0.099,1.0,10-Q
0001045810-17-000075,2017-05-23,0.035,0.866,0.099,1.0,10-Q
0001045810-17-000123,2017-08-23,0.032,0.878,0.09,1.0,10-Q
0001045810-17-000172,2017-11-21,0.032,0.878,0.091,1.0,10-Q
0001045810-18-000080,2018-05-22,0.03,0.876,0.094,1.0,10-Q
0001045810-18-000114,2018-08-16,0.028,0.889,0.082,1.0,10-Q
0001045810-18-000150,2018-11-15,0.028,0.889,0.083,1.0,10-Q
0001045810-19-000079,2019-05-16,0.031,0.877,0.092,1.0,10-Q
0001045810-19-000144,2019-08-15,0.028,0.879,0.094,1.0,10-Q
0001045810-19-000170,2019-11-14,0.029,0.879,0.092,1.0,10-Q
0001045810-20-000065,2020-05-21,0.031,0.87,0.099,1.0,10-Q
0001045810-20-000147,2020-08-19,0.026,0.886,0.088,1.0,10-Q
0001045810-20-000189,2020-11-18,0.028,0.882,0.09,1.0,10-Q
0001045810-21-000064,2021-05-26,0.026,0.877,0.097,1.0,10-Q
0001045810-21-000131,2021-08-20,0.026,0.874,0.101,1.0,10-Q
0001045810-21-000163,2021-11-22,0.027,0.89,0.083,1.0,10-Q
0001045810-22-000079,2022-05-27,0.028,0.887,0.085,1.0,10-Q
0001045810-22-000147,2022-08-31,0.029,0.888,0.083,1.0,10-Q
0001045810-22-000166,2022-11-18,0.028,0.889,0.083,1.0,10-Q
0001045810-23-000093,2023-05-26,0.03,0.888,0.083,1.0,10-Q
0001045810-23-000175,2023-08-28,0.029,0.889,0.083,1.0,10-Q
0001045810-23-000227,2023-11-21,0.027,0.892,0.081,1.0,10-Q
